timestamp,system_id,srcaddr,dstaddr,nexthop,dPkts,dOctets,first,last,srcport,dstport,tcp_flags,protocol,tos,src_as,dst_as,src_mask,dst_mask,input,output
60165,f86f1f80e26c4808830bb0aeb720b126,168430174,1572552628,167777282,7252,8703547,60150,60150,80,58115,0,6,0,65000,48097,24,24,100,14
60172,f86f1f80e26c4808830bb0aeb720b126,168430118,3264419397,167774722,6360,7632495,60155,60155,80,64912,0,6,0,65000,43618,24,24,100,14
60174,f86f1f80e26c4808830bb0aeb720b126,3057425371,168430130,167837954,19,23787,-25989,60174,49678,443,0,6,0,17813,65000,24,24,14,100
60178,f86f1f80e26c4808830bb0aeb720b126,168430111,3270650817,167772162,5392,6470890,60163,60163,80,62297,0,6,0,65000,20672,24,24,100,14
60187,f86f1f80e26c4808830bb0aeb720b126,3234558896,168430165,167837954,79,95008,-3933,60187,55839,80,0,6,0,22388,65000,24,24,14,100
60189,f86f1f80e26c4808830bb0aeb720b126,168430175,3351153844,167774722,6088,7306324,60172,60172,80,59039,0,6,0,65000,18760,24,24,100,14
60193,f86f1f80e26c4808830bb0aeb720b126,168430120,1087041760,167779842,6022,7227506,60177,60177,22,57602,0,6,0,65000,10242,24,24,100,14
60201,f86f1f80e26c4808830bb0aeb720b126,2790592931,168430153,167837954,64,76807,-39305,60201,63168,80,0,6,0,10798,65000,24,24,14,100
60205,f86f1f80e26c4808830bb0aeb720b126,3257086038,168430150,167837954,18,22292,-26735,60205,53654,80,0,6,0,47481,65000,24,24,14,100
60209,f86f1f80e26c4808830bb0aeb720b126,168430174,3141337372,167772162,25,30107,60193,60193,443,57453,0,6,0,65000,19089,24,24,100,14
60213,f86f1f80e26c4808830bb0aeb720b126,3048117100,168430163,167837954,36,43363,-49263,60213,62531,80,0,6,0,52308,65000,24,24,14,100
60221,f86f1f80e26c4808830bb0aeb720b126,1733633000,168430168,167837954,48,58419,-33451,60221,51630,80,0,6,0,29119,65000,24,24,14,100
60226,f86f1f80e26c4808830bb0aeb720b126,168430101,2924311862,167774722,4401,5282115,60207,60207,80,57429,0,6,0,65000,53614,24,24,100,14
60230,f86f1f80e26c4808830bb0aeb720b126,2450267888,168430101,167837954,36,44076,-47074,60230,61917,22,0,6,0,3737,65000,24,24,14,100
60233,f86f1f80e26c4808830bb0aeb720b126,168430169,1607928256,167779842,2486,2983747,60213,60213,22,49491,0,6,0,65000,56595,24,24,100,14
60237,f86f1f80e26c4808830bb0aeb720b126,168430115,3245298367,167774722,3386,4063377,60219,60219,80,60272,0,6,0,65000,24784,24,24,100,14
61002,f86f1f80e26c4808830bb0aeb720b126,168430135,3629560914,167774722,18,21945,60986,60986,443,59737,0,6,0,65000,11191,24,24,100,14
61007,f86f1f80e26c4808830bb0aeb720b126,2644184069,168430090,167837954,665,798011,-24817,61007,53966,22,0,6,0,17983,65000,24,24,14,100
61011,f86f1f80e26c4808830bb0aeb720b126,1542339405,168430135,167837954,4432,5319381,-19974,61011,64894,443,0,6,0,52106,65000,24,24,14,100
61015,f86f1f80e26c4808830bb0aeb720b126,168430093,3451091630,167777282,52,63207,60997,60997,443,63590,0,6,0,65000,18566,24,24,100,14
61024,f86f1f80e26c4808830bb0aeb720b126,168430148,3302555141,167782402,3088,3705952,61008,61008,80,49168,0,6,0,65000,36974,24,24,100,14
61027,f86f1f80e26c4808830bb0aeb720b126,3247859992,168430166,167837954,58,70769,-8609,61027,56560,22,0,6,0,41661,65000,24,24,14,100
61033,f86f1f80e26c4808830bb0aeb720b126,168430177,2833672452,167774722,720,864182,61018,61018,80,56341,0,6,0,65000,7926,24,24,100,14
61038,f86f1f80e26c4808830bb0aeb720b126,3494691197,168430175,167837954,3050,3660939,-53572,61038,62282,80,0,6,0,40281,65000,24,24,14,100
61043,f86f1f80e26c4808830bb0aeb720b126,168430155,630818651,167779842,4706,5648256,61026,61026,80,64466,0,6,0,65000,12874,24,24,100,14
61048,f86f1f80e26c4808830bb0aeb720b126,168430148,778821958,167774722,3182,3819270,61030,61030,22,55964,0,6,0,65000,5483,24,24,100,14
61053,f86f1f80e26c4808830bb0aeb720b126,3301187767,168430133,167837954,2904,3485218,-46977,61053,52887,22,0,6,0,58065,65000,24,24,14,100
61054,f86f1f80e26c4808830bb0aeb720b126,2848307935,168430105,167837954,46,55491,-27220,61054,49534,22,0,6,0,26548,65000,24,24,14,100
61061,f86f1f80e26c4808830bb0aeb720b126,3257980968,168430175,167837954,9,11525,-60528,61061,60099,443,0,6,0,29522,65000,24,24,14,100
61068,f86f1f80e26c4808830bb0aeb720b126,645941590,168430125,167837954,63,75774,-36506,61068,53003,443,0,6,0,33313,65000,24,24,14,100
61070,f86f1f80e26c4808830bb0aeb720b126,168430170,3113698718,167774722,71,85910,61053,61053,443,49468,0,6,0,65000,39534,24,24,100,14
61076,f86f1f80e26c4808830bb0aeb720b126,1732369316,168430135,167837954,69,83877,-39524,61076,49398,80,0,6,0,9266,65000,24,24,14,100
61081,f86f1f80e26c4808830bb0aeb720b126,84575839,168430162,167837954,66,79962,-27601,61081,57739,22,0,6,0,57809,65000,24,24,14,100
61085,f86f1f80e26c4808830bb0aeb720b126,996458480,168430152,167837954,67,80949,-48924,61085,61539,443,0,6,0,2764,65000,24,24,14,100
61091,f86f1f80e26c4808830bb0aeb720b126,761129183,168430103,167837954,60,72193,-43622,61091,64555,443,0,6,0,34244,65000,24,24,14,100
61095,f86f1f80e26c4808830bb0aeb720b126,168430146,1515494737,167772162,6832,8199060,61076,61076,443,56524,0,6,0,65000,2287,24,24,100,14
61100,f86f1f80e26c4808830bb0aeb720b126,3118731148,168430154,167837954,2906,3488348,-13666,61100,62624,22,0,6,0,29256,65000,24,24,14,100
61106,f86f1f80e26c4808830bb0aeb720b126,168430139,1248976015,167782402,7256,8708046,61086,61086,22,59608,0,6,0,65000,27501,24,24,100,14
61107,f86f1f80e26c4808830bb0aeb720b126,1387381321,168430090,167837954,81,97454,-51851,61107,50321,443,0,6,0,20804,65000,24,24,14,100
61112,f86f1f80e26c4808830bb0aeb720b126,95580258,168430157,167837954,71,85425,-14598,61112,50983,443,0,6,0,59554,65000,24,24,14,100
61121,f86f1f80e26c4808830bb0aeb720b126,168430103,2709590513,167777282,23,27961,61102,61102,80,60698,0,6,0,65000,23348,24,24,100,14
61122,f86f1f80e26c4808830bb0aeb720b126,168430141,3428223043,167777282,1506,1807573,61106,61106,22,52780,0,6,0,65000,10376,24,24,100,14
61132,f86f1f80e26c4808830bb0aeb720b126,168430114,2966352955,167779842,322,387547,61112,61112,443,50182,0,6,0,65000,1267,24,24,100,14
61134,f86f1f80e26c4808830bb0aeb720b126,3629343044,168430138,167837954,38,46484,-41955,61134,55447,443,0,6,0,10823,65000,24,24,14,100
61137,f86f1f80e26c4808830bb0aeb720b126,168430129,2167308620,167779842,8236,9883985,61120,61120,22,57892,0,6,0,65000,11030,24,24,100,14
61146,f86f1f80e26c4808830bb0aeb720b126,168430156,417562198,167772162,2193,2632609,61131,61131,22,52389,0,6,0,65000,33363,24,24,100,14
61150,f86f1f80e26c4808830bb0aeb720b126,168430127,3137427503,167774722,654,784830,61134,61134,22,64611,0,6,0,65000,28250,24,24,100,14
61153,f86f1f80e26c4808830bb0aeb720b126,3508632150,168430111,167837954,13,15856,-40453,61153,61127,80,0,6,0,21615,65000,24,24,14,100
61156,f86f1f80e26c4808830bb0aeb720b126,3341200077,168430092,167837954,46,55263,-42240,61156,58891,80,0,6,0,32003,65000,24,24,14,100
61161,f86f1f80e26c4808830bb0aeb720b126,1504622677,168430103,167837954,26,31664,-33290,61161,59561,22,0,6,0,60448,65000,24,24,14,100
61170,f86f1f80e26c4808830bb0aeb720b126,168430127,1541400962,167772162,7800,9360872,61154,61154,80,55140,0,6,0,65000,49250,24,24,100,14
61173,f86f1f80e26c4808830bb0aeb720b126,3351153762,168430126,167837954,81,98066,-8042,61173,65123,22,0,6,0,18760,65000,24,24,14,100
61177,f86f1f80e26c4808830bb0aeb720b126,168430124,3358876226,167782402,6508,7809716,61158,61158,80,61925,0,6,0,65000,30284,24,24,100,14
61181,f86f1f80e26c4808830bb0aeb720b126,168430143,3287831141,167774722,2325,2790385,61166,61166,80,55456,0,6,0,65000,41217,24,24,100,14
61189,f86f1f80e26c4808830bb0aeb720b126,168430163,1052136510,167774722,718,862300,61173,61173,80,65488,0,6,0,65000,30860,24,24,100,14
61194,f86f1f80e26c4808830bb0aeb720b126,3393239944,168430160,167837954,64,77730,-34441,61194,62597,443,0,6,0,4637,65000,24,24,14,100
61198,f86f1f80e26c4808830bb0aeb720b126,84575093,168430116,167837954,34,41025,-53332,61198,60585,443,0,6,0,57809,65000,24,24,14,100
61201,f86f1f80e26c4808830bb0aeb720b126,168430129,645941275,167782402,523,627683,61182,61182,80,59144,0,6,0,65000,33313,24,24,100,14
61209,f86f1f80e26c4808830bb0aeb720b126,3137427584,168430096,167837954,16,19992,-39361,61209,57080,22,0,6,0,28250,65000,24,24,14,100
61212,f86f1f80e26c4808830bb0aeb720b126,168430127,3520435314,167772162,68,82040,61196,61196,443,57809,0,6,0,65000,17049,24,24,100,14
61217,f86f1f80e26c4808830bb0aeb720b126,168430129,645949143,167772162,4196,5036000,61198,61198,443,64731,0,6,0,65000,17077,24,24,100,14
61224,f86f1f80e26c4808830bb0aeb720b126,168430093,2684168333,167772162,6958,8350732,61207,61207,80,55003,0,6,0,65000,51559,24,24,100,14
61226,f86f1f80e26c4808830bb0aeb720b126,1490900732,168430132,167837954,65,78649,-16857,61226,57715,22,0,6,0,31108,65000,24,24,14,100
61230,f86f1f80e26c4808830bb0aeb720b126,168430142,3256904482,167772162,4021,4825322,61213,61213,80,62599,0,6,0,65000,56655,24,24,100,14
61238,f86f1f80e26c4808830bb0aeb720b126,168430091,3363268651,167777282,81,98319,61218,61218,80,55467,0,6,0,65000,19429,24,24,100,14
61240,f86f1f80e26c4808830bb0aeb720b126,168430151,760300324,167774722,5066,6079243,61225,61225,80,50178,0,6,0,65000,49289,24,24,100,14
62002,f86f1f80e26c4808830bb0aeb720b126,168430167,3272108222,167782402,2242,2690536,61987,61987,80,52117,0,6,0,65000,13045,24,24,100,14
62005,f86f1f80e26c4808830bb0aeb720b126,168430110,2500986776,167772162,7832,9398734,61988,61988,443,52525,0,6,0,65000,64286,24,24,100,14
62014,f86f1f80e26c4808830bb0aeb720b126,168430141,773620228,167782402,6203,7444018,61999,61999,443,58988,0,6,0,65000,39586,24,24,100,14
62014,f86f1f80e26c4808830bb0aeb720b126,3233586139,168430151,167837954,36,43345,-57851,62014,49390,80,0,6,0,39990,65000,24,24,14,100
62023,f86f1f80e26c4808830bb0aeb720b126,1594952844,168430162,167837954,65,78961,-25121,62023,50122,80,0,6,0,12479,65000,24,24,14,100
62025,f86f1f80e26c4808830bb0aeb720b126,1760838029,168430109,167837954,56,68063,-26560,62025,50521,443,0,6,0,22423,65000,24,24,14,100
62030,f86f1f80e26c4808830bb0aeb720b126,2647336395,168430148,167837954,481,577875,-33520,62030,56626,22,0,6,0,21369,65000,24,24,14,100
62036,f86f1f80e26c4808830bb0aeb720b126,3111902733,168430103,167837954,26,32136,-53327,62036,64766,443,0,6,0,51060,65000,24,24,14,100
62042,f86f1f80e26c4808830bb0aeb720b126,2193687474,168430121,167837954,6985,8382457,-14770,62042,64153,22,0,6,0,3561,65000,24,24,14,100
62045,f86f1f80e26c4808830bb0aeb720b126,3333744021,168430123,167837954,68,81734,-2958,62045,51621,443,0,6,0,22851,65000,24,24,14,100
62049,f86f1f80e26c4808830bb0aeb720b126,3732890095,168430145,167837954,35,42567,-38580,62049,58030,22,0,6,0,4775,65000,24,24,14,100
62054,f86f1f80e26c4808830bb0aeb720b126,168430155,3226492613,167782402,806,967970,62035,62035,22,53042,0,6,0,65000,3356,24,24,100,14
62062,f86f1f80e26c4808830bb0aeb720b126,168430172,213310634,167774722,663,795720,62046,62046,80,62690,0,6,0,65000,30647,24,24,100,14
62066,f86f1f80e26c4808830bb0aeb720b126,168430111,1249342338,167777282,8111,9733303,62049,62049,443,55207,0,6,0,65000,36610,24,24,100,14
62072,f86f1f80e26c4808830bb0aeb720b126,1348496956,168430112,167837954,3806,4568015,-15455,62072,51002,443,0,6,0,20929,65000,24,24,14,100
62074,f86f1f80e26c4808830bb0aeb720b126,3103941286,168430175,167837954,51,62354,-51632,62074,53078,22,0,6,0,6866,65000,24,24,14,100
62081,f86f1f80e26c4808830bb0aeb720b126,168430099,2734021118,167777282,3151,3781266,62063,62063,22,65063,0,6,0,65000,7489,24,24,100,14
62084,f86f1f80e26c4808830bb0aeb720b126,168430144,645949338,167772162,7333,8799858,62069,62069,22,54760,0,6,0,65000,17077,24,24,100,14
62090,f86f1f80e26c4808830bb0aeb720b126,168430137,1986166506,167782402,5894,7073025,62070,62070,80,52935,0,6,0,65000,7713,24,24,100,14
62097,f86f1f80e26c4808830bb0aeb720b126,168430168,2715382364,167774722,5262,6315043,62079,62079,443,53702,0,6,0,65000,22284,24,24,100,14
62102,f86f1f80e26c4808830bb0aeb720b126,1743365540,168430131,167837954,56,67378,-41754,62102,55824,443,0,6,0,9263,65000,24,24,14,100
62106,f86f1f80e26c4808830bb0aeb720b126,3412964462,168430133,167837954,308,369703,-49322,62106,60039,80,0,6,0,9500,65000,24,24,14,100
62109,f86f1f80e26c4808830bb0aeb720b126,3266322672,168430165,167837954,19,23712,-11654,62109,50700,80,0,6,0,43811,65000,24,24,14,100
62116,f86f1f80e26c4808830bb0aeb720b126,3574626165,168430175,167837954,3522,4227005,-27730,62116,56793,22,0,6,0,12301,65000,24,24,14,100
62120,f86f1f80e26c4808830bb0aeb720b126,3428223766,168430124,167837954,59,71250,-55674,62120,63489,443,0,6,0,10376,65000,24,24,14,100
62123,f86f1f80e26c4808830bb0aeb720b126,1123941655,168430121,167837954,15,18466,-53703,62123,58758,22,0,6,0,23473,65000,24,24,14,100
62128,f86f1f80e26c4808830bb0aeb720b126,701256493,168430119,167837954,33,39846,-20416,62128,57054,443,0,6,0,15964,65000,24,24,14,100
62135,f86f1f80e26c4808830bb0aeb720b126,1137440590,168430132,167837954,21,25592,-40541,62135,49304,443,0,6,0,11992,65000,24,24,14,100
62138,f86f1f80e26c4808830bb0aeb720b126,168430157,3341199606,167779842,6082,7298961,62122,62122,80,53682,0,6,0,65000,32003,24,24,100,14
62143,f86f1f80e26c4808830bb0aeb720b126,3429105756,168430143,167837954,82,99498,-47941,62143,61293,22,0,6,0,18558,65000,24,24,14,100
62149,f86f1f80e26c4808830bb0aeb720b126,645949058,168430144,167837954,47,57027,-24801,62149,49554,443,0,6,0,17077,65000,24,24,14,100
62155,f86f1f80e26c4808830bb0aeb720b126,3271931464,168430171,167837954,6774,8129195,-17806,62155,52059,80,0,6,0,45016,65000,24,24,14,100
62158,f86f1f80e26c4808830bb0aeb720b126,1161649234,168430167,167837954,64,77731,-47656,62158,49714,443,0,6,0,22653,65000,24,24,14,100
62165,f86f1f80e26c4808830bb0aeb720b126,168430109,3272108114,167782402,6725,8070276,62148,62148,80,58108,0,6,0,65000,13045,24,24,100,14
62167,f86f1f80e26c4808830bb0aeb720b126,2557109285,168430114,167837954,42,51131,-16130,62167,64575,80,0,6,0,2018,65000,24,24,14,100
62171,f86f1f80e26c4808830bb0aeb720b126,202153352,168430105,167837954,23,28622,-23347,62171,63682,22,0,6,0,53840,65000,24,24,14,100
62177,f86f1f80e26c4808830bb0aeb720b126,3640450089,168430094,167837954,63,76427,-28619,62177,60534,443,0,6,0,36492,65000,24,24,14,100
62184,f86f1f80e26c4808830bb0aeb720b126,853897751,168430159,167837954,27,32540,-2276,62184,63903,80,0,6,0,21508,65000,24,24,14,100
62189,f86f1f80e26c4808830bb0aeb720b126,168430093,2316328749,167774722,3059,3671090,62171,62171,22,63726,0,6,0,65000,11078,24,24,100,14
62192,f86f1f80e26c4808830bb0aeb720b126,2742623719,168430096,167837954,35,42363,-2284,62192,55009,443,0,6,0,6127,65000,24,24,14,100
62200,f86f1f80e26c4808830bb0aeb720b126,168430139,3301898699,167777282,4820,5784304,62184,62184,22,52420,0,6,0,65000,6713,24,24,100,14
62201,f86f1f80e26c4808830bb0aeb720b126,168430105,1572551589,167777282,4396,5276226,62186,62186,80,53378,0,6,0,65000,48097,24,24,100,14
62209,f86f1f80e26c4808830bb0aeb720b126,95750613,168430109,167837954,21,26274,-10678,62209,51970,443,0,6,0,1197,65000,24,24,14,100
62212,f86f1f80e26c4808830bb0aeb720b126,3229205767,168430171,167837954,23,28323,-2442,62212,52238,22,0,6,0,35041,65000,24,24,14,100
62219,f86f1f80e26c4808830bb0aeb720b126,3385546606,168430139,167837954,61,73609,-17242,62219,63628,22,0,6,0,11830,65000,24,24,14,100
62222,f86f1f80e26c4808830bb0aeb720b126,168430146,3512811944,167779842,5781,6938258,62202,62202,80,52634,0,6,0,65000,11492,24,24,100,14
62230,f86f1f80e26c4808830bb0aeb720b126,168430122,2956852863,167779842,3650,4380042,62211,62211,80,55362,0,6,0,65000,8257,24,24,100,14
62230,f86f1f80e26c4808830bb0aeb720b126,3234810999,168430132,167837954,31,37603,-5731,62230,52282,22,0,6,0,611,65000,24,24,14,100
62235,f86f1f80e26c4808830bb0aeb720b126,1870495404,168430108,167837954,25,30837,-15138,62235,50856,22,0,6,0,17639,65000,24,24,14,100
62240,f86f1f80e26c4808830bb0aeb720b126,2557109712,168430139,167837954,1268,1521998,-61826,62240,62006,443,0,6,0,2018,65000,24,24,14,100
63000,f86f1f80e26c4808830bb0aeb720b126,168430111,209207338,167774722,7223,8668477,62983,62983,22,64362,0,6,0,65000,7018,24,24,100,14
63008,f86f1f80e26c4808830bb0aeb720b126,3501884435,168430104,167837954,63,76153,-41216,63008,51194,22,0,6,0,7385,65000,24,24,14,100
63014,f86f1f80e26c4808830bb0aeb720b126,168430145,1731292240,167782402,343,412725,62997,62997,22,62805,0,6,0,65000,59037,24,24,100,14
63018,f86f1f80e26c4808830bb0aeb720b126,168430130,1145361693,167779842,809,970875,63000,63000,80,50225,0,6,0,65000,30221,24,24,100,14
63019,f86f1f80e26c4808830bb0aeb720b126,1740958413,168430136,167837954,37,45387,-57169,63019,49363,22,0,6,0,55492,65000,24,24,14,100
63028,f86f1f80e26c4808830bb0aeb720b126,3429113618,168430117,167837954,54,65534,-16600,63028,60709,80,0,6,0,18558,65000,24,24,14,100
63029,f86f1f80e26c4808830bb0aeb720b126,2693599208,168430109,167837954,62,75290,-34277,63029,58722,443,0,6,0,5972,65000,24,24,14,100
63034,f86f1f80e26c4808830bb0aeb720b126,168430090,1360879657,167782402,6618,7942685,63016,63016,22,60040,0,6,0,65000,25364,24,24,100,14
63043,f86f1f80e26c4808830bb0aeb720b126,168430117,1807726040,167772162,1078,1294121,63023,63023,22,55182,0,6,0,65000,23352,24,24,100,14
63046,f86f1f80e26c4808830bb0aeb720b126,3141337492,168430110,167837954,28,33674,-7031,63046,58012,443,0,6,0,19089,65000,24,24,14,100
63053,f86f1f80e26c4808830bb0aeb720b126,168430118,2585720155,167779842,3976,4771439,63037,63037,22,57786,0,6,0,65000,55286,24,24,100,14
63056,f86f1f80e26c4808830bb0aeb720b126,168430177,2921506040,167782402,5051,6061876,63041,63041,443,55824,0,6,0,65000,27411,24,24,100,14
63061,f86f1f80e26c4808830bb0aeb720b126,168430135,3240699254,167779842,4895,5874172,63041,63041,443,61730,0,6,0,65000,15644,24,24,100,14
63066,f86f1f80e26c4808830bb0aeb720b126,3459266237,168430175,167837954,46,55566,-9186,63066,53749,443,0,6,0,51964,65000,24,24,14,100
63069,f86f1f80e26c4808830bb0aeb720b126,168430159,701256370,167782402,2614,3137449,63050,63050,22,56014,0,6,0,65000,15964,24,24,100,14
63075,f86f1f80e26c4808830bb0aeb720b126,1029302640,168430090,167837954,9,11285,-62263,63075,62643,80,0,6,0,18081,65000,24,24,14,100
63083,f86f1f80e26c4808830bb0aeb720b126,168430144,3494831803,167777282,7611,9133797,63064,63064,80,62431,0,6,0,65000,26137,24,24,100,14
63085,f86f1f80e26c4808830bb0aeb720b126,2150517347,168430136,167837954,31,37296,-5087,63085,54383,443,0,6,0,17,65000,24,24,14,100
63092,f86f1f80e26c4808830bb0aeb720b126,168430116,1539319144,167772162,3859,4631063,63077,63077,22,55297,0,6,0,65000,39704,24,24,100,14
63097,f86f1f80e26c4808830bb0aeb720b126,168430180,1991240077,167777282,1885,2262524,63079,63079,80,51100,0,6,0,65000,23969,24,24,100,14
63102,f86f1f80e26c4808830bb0aeb720b126,168430167,3301892136,167777282,6186,7424230,63087,63087,80,51080,0,6,0,65000,6713,24,24,100,14
63107,f86f1f80e26c4808830bb0aeb720b126,168430096,2916821052,167782402,53,63649,63090,63090,443,53511,0,6,0,65000,19108,24,24,100,14
63110,f86f1f80e26c4808830bb0aeb720b126,1953000260,168430171,167837954,17,21087,-16807,63110,49343,443,0,6,0,24086,65000,24,24,14,100
63114,f86f1f80e26c4808830bb0aeb720b126,168430103,1730450359,167779842,3089,3707179,63095,63095,22,53043,0,6,0,65000,45935,24,24,100,14
63118,f86f1f80e26c4808830bb0aeb720b126,168430115,3640450277,167779842,7568,9082285,63100,63100,443,60696,0,6,0,65000,36492,24,24,100,14
63126,f86f1f80e26c4808830bb0aeb720b126,168430178,3704622383,167774722,1224,1468822,63111,63111,80,59778,0,6,0,65000,7522,24,24,100,14
63127,f86f1f80e26c4808830bb0aeb720b126,168430158,1066675894,167782402,5585,6702635,63111,63111,80,53366,0,6,0,65000,53316,24,24,100,14
63134,f86f1f80e26c4808830bb0aeb720b126,2715382328,168430174,167837954,32,38823,-46726,63134,58300,22,0,6,0,22284,65000,24,24,14,100
63141,f86f1f80e26c4808830bb0aeb720b126,168430141,3246869068,167777282,7412,8895137,63125,63125,22,49555,0,6,0,65000,29296,24,24,100,14
63142,f86f1f80e26c4808830bb0aeb720b126,1507323358,168430090,167837954,18,22559,-48271,63142,64333,80,0,6,0,29580,65000,24,24,14,100
63149,f86f1f80e26c4808830bb0aeb720b126,3137425695,168430135,167837954,46,55525,-24960,63149,57810,80,0,6,0,25933,65000,24,24,14,100
63154,f86f1f80e26c4808830bb0aeb720b126,168430151,3277701555,167779842,7775,9330227,63135,63135,80,63303,0,6,0,65000,44338,24,24,100,14
63161,f86f1f80e26c4808830bb0aeb720b126,168430179,1964136920,167779842,780,936141,63142,63142,80,63828,0,6,0,65000,9374,24,24,100,14
